COc1ccc(cc1)C(O)=O OC(=O)c1ccc(c(c1)C(O)=O)[N+]([O-])=O
CC1=CC(=CC=C1)[N+](=O)[O-] CN(C)c1cccc(c1)[S](O)(=O)=O
COc1ccccc1Cl NC(C(=O)O)C1=CC=C(O)C=C1
OC(=O)CCCCc1ccccc1 O=Cc1ccccc1
CC(Oc1ccc(Cl)cc1C)C(O)=O OC(=O)c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
Cc1ccc(O)c(I)c1 CC(O)COc1ccccc1
Nc1cc(Cl)cc(C(O)=O)c1Cl Cc1ccc(C(O)=O)c(O)c1
CCN(CC)c1cccc(NC(C)=O)c1 OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O
CON(C)C(=O)NC1=CC=C(Cl)C=C1 CC(=O)c1ccc(N)cc1
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
[O-][N+](=O)c1cc(ccc1C#N)C(F)(F)F O[C@@H](CNc1ccccc1)C[S]([O-])(=O)=O
COc1ccc(COC(C)=O)cc1 OC(=O)C1=C(F)C=CC=C1
C/C(C=O)=C/c1ccccc1 Cc1ccc(N)cc1
COCC(C)OC(=O)OC1=CC=C(NC(C)=O)C=C1 CC(C)NCC(O)COC1=C(OCC=C)C=CC=C1
O=C(O)C=Cc(cccc1)c1 OCCN(CCO)C(=O)COC(=O)C1=CC=CC=C1
CCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C Cc1cccc(c1)[S](N)(=O)=O
COC(=O)C[S](=O)(=O)C1=CC=C(Br)C=C1 COC(=O)c1ccccc1O
CC(C)N(C(=O)CCl)c1ccccc1 CCC(C)C(=O)N(C)c1ccccc1
CC(=O)c1cccc(c1)C(F)(F)F COc1ccccc1OC
COc1cccc(c1)[N+]([O-])=O CC(C)(C)c1cc(O)ccc1O
Nc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O CC(C)(NC(=O)C1=CC=CC=C1)C(=O)O
CC(C)OC(=O)c1c(cccc1[N+]([O-])=O)C([O-])=O Oc1ccc(Br)cc1
CC(=O)OC1=CC=C(NC(N)=O)C=C1 CNCc1ccccc1
CNC(=O)OC1=CC(=C(C)C=C1)C COc1ccc(N)cc1
Nc1cc(cc(C(O)=O)c1O)[N+]([O-])=O COc1ccc(CO)cc1
CCC(C)(C)c1ccccc1O OC(=O)c1cc(ccc1O)[S](O)(=O)=O
CC(=C)C(=O)Oc1ccccc1 OCCOC(=O)c1ccccc1C(O)=O
CO[P](=O)(OC)OC(/C)=C/C(=O)OC(C)c1ccccc1 O=C(C1=CC=CC=C1)C(F)(F)F
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O OCc1cccc(O)c1
COC(=O)C1=CC=C(OC(C)=O)C=C1 Cc1cc(Cl)ccc1O
Cc1cc(Cl)ccc1OCC(O)=O Cc1cccc(O)c1C
Oc1ccc(cc1[N+]([O-])=O)C(F)(F)F CC1=C(S(=O)(=O)O)C=CC(O)=C1
C[C@H](CC1=CC=CC=C1)N(C)CC#C COC1=CC=C(Cl)C(OC)=C1O
FC(F)(F)c1ccccc1 OCCOC1=CC=CC(OCCO)=C1
OC(=O)COc1ccc(Cl)cc1Cl CC(=O)NC(CC1=CC=C(O)C=C1)C(=O)O
N[S](=O)(=O)c1ccc(SCCCCO)cc1 CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Cc1ccc(cc1)[N+]([O-])=O Nc1ccccc1Cl
CCCCSc1cc(O)cc(O)c1 CCSC(C(O)=O)c1ccccc1
CC(=O)OC1=CC=CC=C1C(=O)OCC(=O)NCC(N)=O Oc1ccc(Cl)c(Cl)c1
CCCCCCN(C)N=NC1=CC=C(C(=O)O)C=C1 Nc1ccc(OCCO)c(N)c1
CCC1=CC=C(C=C1)C(O)=O Cc1cc(C)c(N)c(C)c1N
CCOc1ccccc1\C=C/C(O)=O NC(Cc1ccc(O)c(O)c1)C(O)=O
N[S](=O)(=O)c1ccc(cc1)[S](N)(=O)=O COc1c(N)c(C=O)ccc1O
Cc1ccccc1Cl NC(C(=O)NCC(=O)O)C1=CC=CC=C1
CCC(C)C1=C(OC(=O)NC)C=CC=C1 Cc1ccc(N)c(c1)[S](O)(=O)=O
CC1=CC=C(C=C1)C(O)=O Cc1cccc(c1C)[S](O)(=O)=O
c1c(Cl)c(Cl)cc(O)c1OC NC(=O)SCC(=O)Nc1ccccc1
[O-][N+](=O)c1cc(ccc1Cl)C(F)(F)F OC1=CC=CC(=C1)C=O
C=CCOC(=O)COc1ccccc1 COC1=C(S(N)(=O)=O)C=C(C)C=C1
Nc1ccc(Cl)cc1[N+]([O-])=O CC(=O)OC1=CC=C(C=C1)C(N)=O
CCCNC(=O)COC(=O)c1ccccc1 O[P](O)(=O)c1ccccc1
Fc1ccccc1CCl O=C(Nc(cccc1)c1)C
OC(=O)c1cccc(Cl)c1 CN[C@@H](C)[C@H](O)c1ccccc1
Fc1cccc(CCl)c1 OC1=CC=CC=C1
Fc1ccc(CCl)cc1 Nc1cccc(O)c1
CCOC(=O)CN(C)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O COC1=CC=C(C(=O)NN)C=C1
COc1ccc(CC=C)cc1OC OCc1ccc(CO)cc1
C=Cc1ccccc1 Nc1ccc(cc1)[S](O)(=O)=O
CCN(CC)C(=O)COC(=O)C1=C(O)C=CC=C1 CC(=O)c1ccccc1
C=CCN(CC=C)C(=O)COC(=O)c1ccccc1 CS(=O)(=O)C1=CC=C(C(=N)N)C=C1
C=CC(=O)OCCOc1ccccc1 Cc1cc(O)c(C)c(C)c1O
[O-][N+](=O)c1ccccc1Cl CN(C=O)c1ccccc1
COc1ccc(NC(=O)N(C)C)cc1Cl Nc1ccc(Cl)cc1
CC=C(Cc1ccccc1)C(O)=O OCc1ccccc1CO
Brc1ccccc1 OCc1cc(Br)ccc1O
CCCOC(=O)OC1=CC=C(NC(C)=O)C=C1 ONc1ccccc1
COC(=O)c1ccc(C)cc1 COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C
CN[S](=O)(=O)c1cc(OC)c(N)cc1C Oc(ccc(N)c1)c1
CC1=C(C(=O)CCl)C=C(C(C)C)C(O)=C1 OCc1ccc(O)cc1
CCOC(=O)COC(=O)C1=CC=CC=C1OC(C)=O CNCC(C)c1ccccc1
CNC(=O)Oc1cc(C)cc(C)c1 CN(C)N=NC1=CC=C(C(=O)O)C=C1
COc1cc(C=O)ccc1OC(=O)C(C)C Oc1cc(F)c(F)c(F)c1
CC(=O)Oc1ccc(Br)cc1C(O)=O CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1
CCCCCCc1ccc(O)cc1O OC(=O)CC(O)(CC(O)=O)C(=O)Nc1ccccc1
O=C(O)CNC(CC1=CC=C(O)C=C1)C(=O)O C[C@H](N)c1ccccc1
Fc1cc(Cl)ccc1CC#N OC(=O)c1ccc(O)c(O)c1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O CC1=CC=C(C=C1)[S](=O)(=O)NN
CC(=O)Oc1ccc(cc1)[N+]([O-])=O Cc1cccc(CO)c1
C[C@@H](Oc1ccc(Cl)cc1Cl)C(O)=O Cc1ccc(c(C)c1)[P](O)(O)=O
OC(=O)c1ccc(Cl)cc1Cl NC1=CC=C(S(=O)(=O)NC(CO)(CO)CO)C=C1
Nc1ccc(SC#N)cc1 NC(=O)COC(=O)c1ccccc1
OC(=O)CCCCCc1ccccc1 NCCc1ccc(O)cc1
N[C@H](Cc1ccc(O)cc1)C(O)=O CCN(CC)NC(=O)NC1=C(C)C=CC=C1C
CC(C)OC(=O)c1ccc(N)cc1 Cc1ccccc1OCC(O)CO
CC(OC(=O)Nc1cccc(Cl)c1)C#C OC(=O)c1ccc(F)c(c1)[N+]([O-])=O
OC(=O)COc1c(Cl)ccc(Cl)c1Cl Nc1ccc(F)cc1
